
                                             CodeAnalysis
    ==============================================================================================
     Tue Nov 22 12:38:41 2016
     Path: "C:\Users\harry\Desktop\project2"
     Args: *.cs, /m, /r, /f
                                                                               
           Code Metrics - Start Line, Size (lines/code), and Complexity (number of scopes)
    ==============================================================================================

                 file name        type                               name    line    size    cplx
      Settings.Designer.cs       class                           Settings      18      13       3

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
            TestHarness.cs   namespace                        TestHarness      28     297      41
            TestHarness.cs       class                        testHarness      30     219      30
            TestHarness.cs    function                        testHarness      43       1       1
            TestHarness.cs    function                        testHarness      46       9       1
            TestHarness.cs    function                      strThreadProc      56      10       2
            TestHarness.cs    function                startStringListener      67      14       3
            TestHarness.cs    function                     parsingMessage      82       6       1
            TestHarness.cs    function                            procMsg      89      23       2
            TestHarness.cs    function                   caseFileNotMatch     113      15       3
            TestHarness.cs    function                        caseRunTest     130      47       9
            TestHarness.cs    function                           caseTest     179      17       3
            TestHarness.cs    function                        startRemote     197      10       1
            TestHarness.cs    function               createChildAppDomain     208      21       1
            TestHarness.cs    function                         startlocal     229      18       2
            TestHarness.cs       class                                run     249      36       6
            TestHarness.cs    function                                run     250       2       1
            TestHarness.cs    function                    processMessages     255       5       1
            TestHarness.cs    function                           execuate     262      21       3
            TestHarness.cs       class                            program     287      37       4
            TestHarness.cs    function                               Main     289      33       3

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
             TestLoader.cs   namespace                         TestLoader      21     135      23
             TestLoader.cs       class                         TestLoader      23      97      20
             TestLoader.cs    function                         changename      25      22       6
             TestLoader.cs    function                               exec      48      43       9
             TestLoader.cs    function                          WriteLine      65       3       1
             TestLoader.cs    function                           loadTest      91      27       4
             TestLoader.cs       class                            program     122      33       2
             TestLoader.cs    function                               Main     124      29       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
            TestLoagger.cs   namespace                         TestLogger      20      37      11
            TestLoagger.cs       class                         TestLogger      22      35      10
            TestLoagger.cs    function                          setFolder      26       3       1
            TestLoagger.cs    function                          getFolder      30       3       1
            TestLoagger.cs    function                              clear      32       1       1
            TestLoagger.cs    function                               Test      33       1       1
            TestLoagger.cs    function                             getLog      36       3       1
            TestLoagger.cs    function                              write      40       3       1
            TestLoagger.cs    function                          writeLine      44       3       1
            TestLoagger.cs    function                        writeToFile      48       3       1
            TestLoagger.cs    function                               show      52       3       1
            TestLoagger.cs       class                            program      60      12       2
            TestLoagger.cs    function                               Main      63       7       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
             XMLDecoder.cs   namespace                        TestHarness      17     241      48
             XMLDecoder.cs       class                           TestData      20      23      11
             XMLDecoder.cs    function                               show      30      11       2
             XMLDecoder.cs       class                        CommandData      43      16      11
             XMLDecoder.cs    function                        CommandData      45       3       1
             XMLDecoder.cs       class                     CommandDecoder      60      35       5
             XMLDecoder.cs    function                     CommandDecoder      64       5       1
             XMLDecoder.cs    function                              parse      70      23       3
             XMLDecoder.cs       class                     CommandEncoder      96      41       4
             XMLDecoder.cs    function                     CommandEncoder     100       4       1
             XMLDecoder.cs    function                             encode     105      30       2
             XMLDecoder.cs       class                         XmlDecoder     137      86      14
             XMLDecoder.cs    function                         XmlDecoder     141       4       1
             XMLDecoder.cs    function                        getDLLFiles     146      30       6
             XMLDecoder.cs    function                              parse     177      44       6
             XMLDecoder.cs       class                            program     224      33       2
             XMLDecoder.cs    function                               Main     226      29       1

                          Functions Exceeding Metric Limits and Public Data
    ==============================================================================================
                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
           MainWindow.g.cs    function       DebuggerNonUserCodeAttribute     230     114       2
         MainWindow.g.i.cs    function       DebuggerNonUserCodeAttribute     230     114       2



    searched   126 dirs
   processed    82 files
